eatery_name,block,building_name,street_name,postal_code,floor_no,unit_no,address_type,description,hyperlink,photo_url,lon,lat,geometry
McDonald's - Chinatown Point,133,Chinatown Point,New Bridge Road,059413,1,3,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84469708539508,1.28499882771297,POINT (103.84469708539508 1.28499882771297)
McDonald's - Choa Chu Kang 4,21,Choa Chu Kang Ave 4,Choa Chu Kang Avenue 4,689812,1,20,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.744950384161,1.385068356675633,POINT (103.744950384161 1.385068356675633)
McDonald's - Choa Chu Kang 62,624,Choa Chu Kang Street 62,Choa Chu Kang Street 62,680624,2,"262, 624",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74697405732326,1.3977813910743773,POINT (103.74697405732326 1.3977813910743773)
McDonald's - Choa Chu Kang 62 (Kiosk),623,Choa Chu Kang Street 62,Choa Chu Kang Street 63,680623,1,262,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74733012103215,1.3982604100587694,POINT (103.74733012103215 1.3982604100587694)
McDonald's - Choa Chu Kang MRT (Kiosk),10,Choa Chu Kang MRT,Choa Chu Kang Avenue 4,689810,1,K3,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74413912177342,1.3856727110251275,POINT (103.74413912177342 1.3856727110251275)
McDonald's - Choa Chu Kang Neighbourhood 5,533,Choa Chu Kang Street 51,Choa Chu Kang Street 51,680533,1,1,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74309957524508,1.3920738848611465,POINT (103.74309957524508 1.3920738848611465)
McDonald's - Chong Pang CC,677,Chong Pang CC,Yishun Ring Road,768677,1,1,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.82897925997312,1.4308917116509006,POINT (103.82897925997312 1.4308917116509006)
McDonald's - Chua Chu Kang CC,35,Choa Chu Kang CC,Teck Whye Avenue,688892,1,1,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.75190388648127,1.3811552900306332,POINT (103.75190388648127 1.3811552900306332)
McDonald's - City Square Mall,180,City Square Mall,Kitchener Road,208539,B1,"3, 5",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.85642177190559,1.311305164797135,POINT (103.85642177190559 1.311305164797135)
McDonald's - Clementi Ave 3,451,Clementi Ave 3,Clementi Avenue 3,120451,1,309,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.76547650435839,1.3124810823684334,POINT (103.76547650435839 1.3124810823684334)
McDonald's - Clementi Mall,588,Clementi Mall,Commonwealth Aveneue West,129588,1 & 2,"6, 7, 8, 9 & 6, 7, 8",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.76424820566152,1.3148532180225951,POINT (103.76424820566152 1.3148532180225951)
McDonald's - Clementi Mall (Kiosk),441,Clementi Mall,Commonwealth Aveneue West,120441,1,1,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.76412891136597,1.3149891849254942,POINT (103.76412891136597 1.3149891849254942)
McDonald's - Compass Point (Sengkang),1,Compass Point (Sengkang),Sengkang Square,545078,B1,17,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.89498003255373,1.3920941501822652,POINT (103.89498003255373 1.3920941501822652)
McDonald's - Downtown East,1,Downtown East,Pasir Ris Close,519599,1,338,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.95359908680598,1.3771407342796085,POINT (103.95359908680598 1.3771407342796085)
McDonald's - Eastpoint Mall,3,Eastpoint Mall,Simei Street 6,528833,1,34,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.95302450382567,1.3427061864390135,POINT (103.95302450382567 1.3427061864390135)
McDonald's - Elias Community Centre,93,Elias Community Centre,Pasir Ris Drive 3,519498,1,2,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.9424764054956,1.3784294369924572,POINT (103.9424764054956 1.3784294369924572)
McDonald's - Fairprice Hub,1,Fairprice Hub,Joo Koon Circle,629117,1,"27, 28, 29, 30, 31",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.67809636422794,1.324606646488674,POINT (103.67809636422794 1.324606646488674)
McDonald's - Fajar,445,Fajar Shopping Mall,Fajar Road,670445,1,520,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.77076850823148,1.3835803175216628,POINT (103.77076850823148 1.3835803175216628)
McDonald's - Farrer Road,10,Farrer Road,Jalan Serene,258748,1,1,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.81369629654566,1.3225905969234486,POINT (103.81369629654566 1.3225905969234486)
McDonald's - Forum Galleria,583,Forum Galleria,Orchard Road,238884,B1,"25, 33-35",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.82850901719983,1.3061957946135023,POINT (103.82850901719983 1.3061957946135023)
